CMDLINE /Users/huangsizhe/anaconda3/bin/python src/C3/memory_test_round.py
MEM 0.023438 1528295332.0243
MEM 12.382812 1528295332.1273
MEM 20.757812 1528295332.2299
MEM 30.519531 1528295332.3345
MEM 36.011719 1528295332.4375
MEM 45.332031 1528295332.5415
MEM 45.796875 1528295332.6425
MEM 47.746094 1528295332.7459
MEM 48.792969 1528295332.8471
MEM 48.910156 1528295332.9516
MEM 48.910156 1528295333.0521
MEM 48.910156 1528295333.1566
MEM 48.910156 1528295333.2613
MEM 48.910156 1528295333.3623
MEM 48.910156 1528295333.4627
MEM 48.945312 1528295333.5647
